input,output
"FairviewShoresisacensus-designatedplaceandanunincorporatedareainOrangeCounty,Florida,UnitedStates.Thepopulationwas10,239atthe2010census.ItispartoftheOrlandoKissimmeeSanford,FloridaMetropolitanStatisticalArea.","Fairview Shores is a census-designated place and an unincorporated area in Orange County, Florida, United States. The population was 10,239 at the 2010 census. It is part of the OrlandoKissimmeeSanford, Florida Metropolitan Statistical Area."
"KingscoteisavillageandcivilparishintheCotswolddistrictofGloucestershire,England,setontheuplandsnearthesouthwesternedgeoftheCotswoldhills.Itissituatedabouttwomiles(3km)eastofUley,fivemiles(8km)eastofDursleyandfourmiles(6km)westofTetbury.ThelandscapeisdesignatedanAreaofOutstandingNaturalBeauty.ThehamletofNewingtonBagpathliestothewestofthevillage;theparishlandsextendneartothesmallvillageofOwlpen.","Kingscote is a village and civil parish in the Cotswold district of Gloucestershire, England, set on the uplands near the south western edge of the Cotswold hills. It is situated about two miles (3 km) east of Uley, five miles (8 km) east of Dursley and four miles (6 km) west of Tetbury. The landscape is designated an Area of Outstanding Natural Beauty. The hamlet of Newington Bagpath lies to the west of the village; the parish lands extend near to the small village of Owlpen."
"Polycythemia(alsoknownaspolycythaemia,polyglobuliaandErythrocytosis)isadiseasestateinwhichthehematocrit(thevolumepercentageofredbloodcellsintheblood)and/orhemoglobinconcentrationareelevatedinperipheralblood.Itcanbeduetoanincreaseinthenumberofredbloodcells(""absolutepolycythemia"")ortoadecreaseinthevolumeofplasma(""relativepolycythemia"").Polycythemiaissometimescallederythrocytosis,butthetermsarenotsynonymous,becausepolycythemiadescribesanyincreaseinredbloodmass(whetherduetoanerythrocytosisornot),whereaserythrocytosisisadocumentedincreaseofredcellcount.Theemergencytreatmentofpolycythemia(e.g.,inhyperviscosityorthrombosis)isbyphlebotomy(removalofbloodfromthecirculation).Dependingontheunderlyingcause,phlebotomymayalsobeusedonaregularbasistoreducethehematocrit.Myelosuppressivemedicationssuchashydroxyureaaresometimesusedforlong-termmanagementofpolycythemia.","Polycythemia (also known as polycythaemia, polyglobulia and Erythrocytosis) is a disease state in which the hematocrit (the volume percentage of red blood cells in the blood) and/or hemoglobin concentration are elevated in peripheral blood. It can be due to an increase in the number of red blood cells (""absolute polycythemia"") or to a decrease in the volume of plasma (""relative polycythemia""). Polycythemia is sometimes called erythrocytosis, but the terms are not synonymous, because polycythemia describes any increase in red blood mass (whether due to an erythrocytosis or not), whereas erythrocytosis is a documented increase of red cell count. The emergency treatment of polycythemia (e.g., in hyperviscosity or thrombosis) is by phlebotomy (removal of blood from the circulation). Depending on the underlying cause, phlebotomy may also be used on a regular basis to reduce the hematocrit. Myelosuppressive medications such as hydroxyurea are sometimes used for long-term management of polycythemia."
"LakeGratiotisa1,438-acre(582ha)lakeinKeweenawCounty,Michigan.ThelakeissurroundedbydenseforestoftheKeweenawPeninsula.Thebottomismainlymuckandithasamaximumdepthof70feet(21m).ThelakeflowsthroughtheLittleGratiotRiverintoLacLaBelleandthenintoLakeSuperior.","Lake Gratiot is a 1,438-acre (582 ha) lake in Keweenaw County, Michigan. The lake is surrounded by dense forest of the Keweenaw Peninsula. The bottom is mainly muck and it has a maximum depth of 70 feet (21 m). The lake flows through the Little Gratiot River into Lac La Belle and then into Lake Superior."
"AshkharbekKalantar(Armenian:-;February11,1884,inArdvi,ArmeniaJune1942)archaeologistandhistorian,playedanimportantroleinfoundingofarchaeologyinArmenia.BornintotheArmeniannoblefamiliesofLoris-MelikovandArghutians(frommaternalside),hegraduatedSt.PetersburgUniversityin1911underNicholasMarr.HewasappointedaFellowoftheArchaeologicalInstitute,ofImperialRussianArchaeologicalSocietyandthekeeperoftheAsiaticMuseuminSt.Petersburg.HewasoneofthefoundersofYerevanStateUniversity.AshkharbekKalantarauthoredmorethan80scholarlyarticles.","Ashkharbek Kalantar (Armenian:  - ; February 11, 1884, in Ardvi, Armenia  June 1942) archaeologist and historian, played an important role in founding of archaeology in Armenia. Born into the Armenian noble families of Loris-Melikov and Arghutians (from maternal side), he graduated St. Petersburg University in 1911 under Nicholas Marr. He was appointed a Fellow of the Archaeological Institute, of Imperial Russian Archaeological Society and the keeper of the Asiatic Museum in St. Petersburg. He was one of the founders of Yerevan State University. Ashkharbek Kalantar authored more than 80 scholarly articles."
"YuliyaNikolayevnaKachalova(Russian:;bornDecember13,1989inMoscow)isaRussiansprintcanoeist.KachalovarepresentedRussiaatthe2012SummerOlympicsinLondon,whereshecompetedinthewomen'sK-4500metres,alongherteammatesYulianaSalakhova,VeraSobetova,andNataliaPodolskaya.Kachalovaandherteamfinishedseventhinthefinalbysixthousandthsofasecond(0.006)behindthePortugueseteam(ledbyTeresaPortela),withatimeof1:33.459.","Yuliya Nikolayevna Kachalova (Russian:   ; born December 13, 1989 in Moscow) is a Russian sprint canoeist. Kachalova represented Russia at the 2012 Summer Olympics in London, where she competed in the women's K-4 500 metres, along her teammates Yuliana Salakhova, Vera Sobetova, and Natalia Podolskaya. Kachalova and her team finished seventh in the final by six thousandths of a second (0.006) behind the Portuguese team (led by Teresa Portela), with a time of 1:33.459.  "
"""DarkHorses""isasongwrittenandrecordedbythealternativerockbandSwitchfoot,andservesasthefirstsinglefromtheireighthstudioalbumentitledViceVerses.Itwasdebutedontheband'sofficialwebsiteonJuly20,2011andservicedtoradioonAugust2,2011.ThereleasewasannouncedonAllAccess/MediabaseandlaterconfirmedbysingerJonForemanduringaninterviewwithradioDJAdrianHummel.","""Dark Horses"" is a song written and recorded by the alternative rock band Switchfoot, and serves as the first single from their eighth studio album entitled Vice Verses. It was debuted on the band's official website on July 20, 2011 and serviced to radio on August 2, 2011. The release was announced on AllAccess/Mediabase and later confirmed by singer Jon Foreman during an interview with radio DJ Adrian Hummel."
Eventsfromtheyear1601inSweden,Events from the year 1601 in Sweden
"ArotrophorautaranaisaspeciesofmothofthefamilyTortricidae.ItisfoundonSulawesiinIndonesia.Thewingspanisabout18.5mm.Theforewingsarecream,mixedwithferruginousinsomeareas.Theposteriorpartsofthewingaresuffusedwithbrownishgrey.Thehindwingsarebrownish.","Arotrophora utarana is a species of moth of the family Tortricidae. It is found on Sulawesi in Indonesia. The wingspan is about 18.5 mm. The forewings are cream, mixed with ferruginous in some areas. The posterior parts of the wing are suffused with brownish grey. The hindwings are brownish."
ChristopherRich(16571714)wasalawyerandtheatricalmanagerinLondoninthelate17thandearly18thcentury.,Christopher Rich (16571714) was a lawyer and theatrical manager in London in the late 17th and early 18th century.
